"","SARIMA(1,0,0)(1,1,2)","ARIMAX (2,1,3)","SARIMAX(3,1,2)(1,0,1)","SARIMAX(3,1,3)(1,0,0)","RF-ritardi","RF-regressori","RF-regressori+dummy","UCM-ritardi","UCM-regressori","UCM-regressori+dummy"
"h=21",2787.11062445024,3173.29930229933,2616.81159722104,3520.44495390791,2893.12016890703,2565.24055722362,2568.83448900754,3038.21225351773,3401.89055039217,3499.860892476
"h=22",2835.88159249052,3310.35811439316,2611.98297398259,3614.3842666598,2910.84321649874,2629.98701127204,2584.14772316896,3268.54928307508,3576.01738948815,3830.44616964042
"h=23",2860.96967874182,3372.72903372917,2653.58438274234,3748.63060553093,3010.19245738636,2628.39810795455,2635.01450454545,3514.69094570984,3804.9897670141,4306.8317127432
"h=24",2860.87489210062,3400.43622902259,2789.85367333655,3785.95876686429,3011.85858531646,2668.77961575949,2637.66429797468,3456.57579731132,3921.18821505302,4557.8443312941
"h=25",2856.6112951505,3381.53772309509,2775.07329831668,3825.40506327915,3077.7097751269,2700.02441307107,2715.3917126269,3363.44782307938,4047.94962221287,4470.13085772121
"h=26",2842.41580350369,3288.32561162555,2738.81428163089,3841.42463062726,3082.37916698473,2709.90154122137,2694.57358740458,3255.44577840393,3992.3386828825,4312.18988923372
"h=27",2838.53577032328,3268.10146448532,2705.81232656936,3923.50965601421,3065.91373354592,2720.08047627551,2694.99478258929,3213.8284798436,3730.63975030614,4176.81540158252
"h=28",2842.40466666862,3263.62328564252,2739.10915544898,3859.56588438167,3048.76495358056,2699.22593439898,2686.65820147059,3144.93322298522,3509.82104858195,3912.15651026692
"h=29",2895.91157812536,3356.17374976941,2784.22280910502,3913.46379608399,3055.56049096154,2755.40550115385,2743.17949153846,3261.54494460528,3837.11205745981,4141.96458225034
"h=30",2916.45539238803,3444.63751407632,2851.1113294822,4037.3019803441,3123.3099753856,2741.21261606684,2729.08818856041,3459.86883123455,4055.84493102579,4579.78375367981
"h=31",2932.77459549289,3485.86542327711,2911.04153612499,4068.47287828781,3116.75095090206,2754.84663092784,2763.10838099227,3510.40210979678,4207.4130791714,4781.36967366073
"h=32",2925.65906555564,3432.48980484227,2935.99871509559,4099.47916153032,3177.80047325581,2744.67675465116,2743.43543646179,3458.82382644357,4125.37482489668,4551.85049891204
"h=33",2921.85087300798,3373.46925126356,2913.57410236035,4057.84170446584,3179.76940200777,2743.74839028497,2731.56640997409,3430.78430985545,4010.29200094402,4496.42681834792
"h=34",2918.19601914341,3327.65495119776,2893.99598257888,4172.3447291618,3151.18121376623,2771.64934831169,2791.88289409091,3467.26539978506,3887.00620811184,4388.96733768063
"h=35",2914.75191586845,3327.23600539307,2884.61388459659,4111.22112613293,3115.10362675781,2762.95110292969,2760.69763851562,3378.59666298938,3814.17449002998,4199.83065361575
"h=36",2938.4402951599,3417.77695477219,2906.65959402875,4122.84896863998,3124.26268531332,2769.98061325065,2749.4111555483,3597.11732104644,4082.5384086738,4467.30189210159
"h=37",2961.74785603477,3452.55264037239,2987.39567575156,4234.24118163762,3185.92260942408,2727.865686911,2730.92334973822,3845.41122887252,4210.69362756082,4876.33175382147
"h=38",2973.20300004016,3443.07279006998,3062.5322029865,4286.48906488437,3077.24100649606,2729.2207003937,2736.87782775591,3781.76054028175,4285.6812183378,4951.85271956511
"h=39",2976.92496234543,3390.51685386627,3027.88803022318,4259.22952655953,3197.05052980263,2739.93848526316,2736.81675592105,3615.91850756338,4285.6986120969,4746.1603594883
"h=40",2982.52472483943,3332.68491665841,3035.81838819506,4181.56268677289,3195.78076246702,2755.81948001319,2752.87070659631,3545.0092186156,4185.4464287298,4628.04271038838
"h=41",2979.94351782477,3293.90824348566,3001.71119016388,4256.21705415215,3194.92442857143,2774.96107797619,2734.84800833333,3470.64028933982,3908.88566960137,4525.51398901082
"h=42",2980.07136738608,3320.6250929862,2965.35367798349,4286.53549564352,3190.23408401857,2768.51642944297,2800.34152579576,3432.16425224468,3811.81696251802,4474.05481156471
"h=43",3016.09160581578,3384.17257891527,2976.3903132313,4321.94932808905,3227.42284767287,2813.39639042553,2784.98245093085,3698.41512528955,4080.73672698607,4625.64302717607
"h=44",3033.8852326002,3412.66818897702,2994.59165331234,4439.12425347523,3272.8294056,2802.8331102,2805.8250398,3973.04729786149,4250.30254715676,4895.2710034811
"h=45",3043.45489246316,3400.65389127707,3077.49166672482,4470.06876928076,3224.3299598262,2826.91867981283,2818.35476410428,3899.85012767314,4337.90958639,4848.83371096762
"h=46",3046.36196427859,3388.43710695416,3051.44651940341,4426.61794944113,3279.16210596515,2829.65085603217,2803.2527708445,3526.86316839992,4383.94279607763,4990.27156091456
"h=47",3056.24600676978,3325.14168994662,2996.40874614753,4396.20076514842,3294.43223891129,2818.47232258065,2822.78503388869,3484.31722069955,4270.32913550773,4899.63029357918
"h=48",3055.01941140698,3280.1989436396,2960.20937629777,4423.97940803854,3255.60526253369,2844.70616947439,2854.69133652291,3584.35436208569,3986.12441424521,4860.68387495423
"h=49",3047.86061699619,3301.51289609395,2937.4585418449,4331.7621820521,3260.85922033784,2840.47353486486,2833.65302837838,3542.34110625977,3850.34234348931,4689.16838186037
"h=50",3072.60103234415,3390.53720338164,2960.42964422273,4316.09996039416,3238.21976890244,2877.40773231707,2841.12447317073,3790.44469068948,4070.1440156432,4693.58806032862
"h=51",3093.28567023327,3442.58973948581,3037.85244659426,4314.47403353152,3272.18834959239,2869.9252171875,2852.33570400815,4106.15617667801,4393.39038712582,4977.09335728936
"h=52",3095.71842932463,3433.62522279108,3132.74992681608,4301.99082064334,3242.79775667575,2883.97570463215,2910.87762241144,3907.51672393234,4331.88750244705,5158.00178176814
"h=53",3101.44747000582,3425.31358960599,3154.19662161272,4204.55702564228,3323.8842227459,2926.12318770492,2895.38939077869,3588.01565942596,4357.36503833253,5076.83222726456
"h=54",3109.34247602431,3413.90606651829,3090.45645410245,4119.20597567307,3332.98211671233,2940.16035267123,2941.35506321918,3580.9769466408,4308.85508150482,5094.61629718551
"h=55",3102.90084037901,3347.38036430772,3006.07824180729,4105.85504495039,3284.52744436813,2969.06005384615,2963.03099340659,3439.85865425616,4058.99982254156,5120.03668221284
"h=56",3095.72331393903,3338.02380617886,3052.97476781072,4099.24250494835,3331.47877438017,2975.49064214876,2976.51439805066,3313.75204645497,3907.30720961487,4789.4790718779
"h=57",3122.41451760521,3451.35541643502,3051.76513722825,4079.64244848018,3315.86278073204,3021.46741305249,3022.09068853591,3799.16422604964,4206.79427587953,4843.92678145713
"h=58",3131.55256062513,3521.15674367449,3046.72144890268,4103.20663870393,3389.49783947368,3013.67465775623,2991.96650567867,4346.29794130697,4498.70199510837,5265.88819712021
"h=59",3139.48663897489,3534.26571615433,3017.07212444945,4032.98026497055,3337.746265,3039.820220625,2997.984815,4029.02169839902,4514.01027562266,5411.41582148917
"h=60",3138.36989184535,3499.18731860057,2880.74691405746,3896.03721584037,3426.43611559889,3090.20380132312,3016.57316991643,3418.33123803127,4440.30373922876,5221.55090275193
"h=61",3144.77253761381,3454.05077065651,2796.71534165181,3790.77489088439,3384.2367603352,3072.85014217877,3017.18615530726,3298.90746621582,4343.44681582146,5239.86605264198
"h=62",3137.07812229062,3402.56048332943,2814.25174327278,3704.86085716286,3446.27785084034,3090.75202058824,3084.71603319328,2948.43304514275,4123.73104215105,5261.40434666366
"h=63",3127.75196776485,3413.40455678999,2880.47583839108,3679.133775157,3486.30703419944,3075.13019578652,3092.36660203652,2864.11301347354,4073.1783748278,5172.6823615722
"h=64",3172.3965200661,3562.25194378351,2970.83918100228,3591.90525018177,3508.13185035211,3119.49054316901,3121.70672725352,3300.359150275,4370.37191786236,5224.31600205434
"h=65",3189.46024173906,3624.49879500497,2992.2419204623,3550.16046317979,3544.90850911017,3126.9557338983,3145.3915463983,3722.75806737152,4606.28671734027,5610.90076808449
"h=66",3193.52413847383,3665.21639526102,3002.69211472084,3551.76263143931,3475.21478583569,3204.80470771955,3207.02281253541,3596.00121901924,4536.26622037612,5524.71064801469
"h=67",3197.88454315136,3647.35562410856,3006.0372628511,3549.29742058033,3584.57100213068,3224.93216995739,3205.47125454545,3335.3592636052,4506.24397646099,5259.71008419146
"h=68",3195.93105399909,3633.86723763375,2958.68350626426,3546.2052252868,3552.84075,3226.4294224359,3195.60953461538,3460.83699927605,4556.31103455093,5430.42861922823
"h=69",3193.64548771471,3578.96115636413,2971.55539649521,3584.80958396971,3525.06520285714,3253.052097,3239.43235585714,3329.20728778538,4334.33087964514,5744.3351817506
"h=70",3191.56830932546,3608.66957697706,3051.34302157002,3605.5041438341,3530.4449215616,3213.16494949857,3207.67409333811,3267.92634153727,4278.73681087998,5554.21226699896
"h=71",3223.41418567178,3684.41621020496,3052.02092607395,3629.43898298808,3550.93103793103,3231.71544375,3238.42505107759,3688.74939780999,4451.56625424287,5422.3073902398
"h=72",3239.31189701089,3729.51479325317,3115.47860367317,3593.91267927086,3584.27672377522,3248.50797881844,3229.77865331412,4078.04062918146,4660.26645249728,5864.95002495328
"h=73",3240.70477390483,3763.34980307907,3165.64342546014,3599.40764350675,3526.85669696532,3230.94815830925,3250.78375708092,3988.16168071915,4526.70139686738,5706.04555261094
