,id_ristorante,Location,Regione,Provincia,data,scontrini,lordototale,Prezzo_medio_per_scontrino,Giorno,Month,Year,Season,Weekend,Festivo,Popolazione,Precipitazioni(mm),Pioggia,ColoreCOVID,Dose1,Dose2,DoseUnica,Booster1,Booster3Dosi,Booster2,Dose1Cum,Dose2Cum,DoseUnicaCum,Booster1Cum,Booster3DosiCum,Booster2Cum,BENZINA,GASOLIO_AUTO,GPL,GASOLIO_RISCALDAMENTO,O.C._FLUIDO_BTZ,O.C._DENSO_BTZ,BENZINA/LITRO,GASOLIO_AUTO/LITRO,GPL/LITRO,GASOLIO_RISCALDAMENTO/LITRO,O.C._FLUIDO_BTZ/LITRO,O.C._DENSO_BTZ/LITRO
3241,R005,Voghera,Lombardia,Pavia,2018-03-21,,,,Wednesday,3,2018,Spring,False,False,39354,0.8,True,,,,,,,,,,,,,,,,,,,,,,,,,
3242,R005,Voghera,Lombardia,Pavia,2018-03-22,,,,Thursday,3,2018,Spring,False,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3243,R005,Voghera,Lombardia,Pavia,2018-03-23,,,,Friday,3,2018,Spring,False,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3244,R005,Voghera,Lombardia,Pavia,2018-03-24,,,,Saturday,3,2018,Spring,True,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3245,R005,Voghera,Lombardia,Pavia,2018-03-25,,,,Sunday,3,2018,Spring,True,True,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3246,R005,Voghera,Lombardia,Pavia,2018-03-26,,,,Monday,3,2018,Spring,False,False,39354,,,,,,,,,,,,,,,,1547.08,1422.82,649.22,1217.37,815.84,390.1,1.54708,1.42282,0.64922,1.2173699999999998,0.81584,0.3901
3247,R005,Voghera,Lombardia,Pavia,2018-03-27,,,,Tuesday,3,2018,Spring,False,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3248,R005,Voghera,Lombardia,Pavia,2018-03-28,,,,Wednesday,3,2018,Spring,False,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3249,R005,Voghera,Lombardia,Pavia,2018-03-29,,,,Thursday,3,2018,Spring,False,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3250,R005,Voghera,Lombardia,Pavia,2018-03-30,,,,Friday,3,2018,Spring,False,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3251,R005,Voghera,Lombardia,Pavia,2018-03-31,,,,Saturday,3,2018,Spring,True,False,39354,5.6,True,,,,,,,,,,,,,,,,,,,,,,,,,
3252,R005,Voghera,Lombardia,Pavia,2018-04-01,20543.0,406962.9,19.81029547777832,Sunday,4,2018,Spring,True,True,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3253,R005,Voghera,Lombardia,Pavia,2018-04-02,,,,Monday,4,2018,Spring,False,True,39354,,,,,,,,,,,,,,,,1554.06,1429.97,646.04,1223.26,814.7,390.44,1.55406,1.42997,0.64604,1.22326,0.8147000000000001,0.39044
3254,R005,Voghera,Lombardia,Pavia,2018-04-03,,,,Tuesday,4,2018,Spring,False,False,39354,7.4,True,,,,,,,,,,,,,,,,,,,,,,,,,
3255,R005,Voghera,Lombardia,Pavia,2018-04-04,,,,Wednesday,4,2018,Spring,False,False,39354,7.6,True,,,,,,,,,,,,,,,,,,,,,,,,,
3256,R005,Voghera,Lombardia,Pavia,2018-04-05,,,,Thursday,4,2018,Spring,False,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3257,R005,Voghera,Lombardia,Pavia,2018-04-06,,,,Friday,4,2018,Spring,False,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3258,R005,Voghera,Lombardia,Pavia,2018-04-07,,,,Saturday,4,2018,Spring,True,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3259,R005,Voghera,Lombardia,Pavia,2018-04-08,,,,Sunday,4,2018,Spring,True,True,39354,0.4,True,,,,,,,,,,,,,,,,,,,,,,,,,
3260,R005,Voghera,Lombardia,Pavia,2018-04-09,,,,Monday,4,2018,Spring,False,False,39354,16.0,True,,,,,,,,,,,,,,1556.26,1432.51,645.79,1230.94,819.02,400.32,1.55626,1.43251,0.64579,1.2309400000000001,0.81902,0.40032
3261,R005,Voghera,Lombardia,Pavia,2018-04-10,,,,Tuesday,4,2018,Spring,False,False,39354,3.2,True,,,,,,,,,,,,,,,,,,,,,,,,,
3262,R005,Voghera,Lombardia,Pavia,2018-04-11,,,,Wednesday,4,2018,Spring,False,False,39354,33.6,True,,,,,,,,,,,,,,,,,,,,,,,,,
3263,R005,Voghera,Lombardia,Pavia,2018-04-12,,,,Thursday,4,2018,Spring,False,False,39354,12.4,True,,,,,,,,,,,,,,,,,,,,,,,,,
3264,R005,Voghera,Lombardia,Pavia,2018-04-13,,,,Friday,4,2018,Spring,False,False,39354,0.6,True,,,,,,,,,,,,,,,,,,,,,,,,,
3265,R005,Voghera,Lombardia,Pavia,2018-04-14,,,,Saturday,4,2018,Spring,True,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3266,R005,Voghera,Lombardia,Pavia,2018-04-15,,,,Sunday,4,2018,Spring,True,True,39354,0.2,True,,,,,,,,,,,,,,,,,,,,,,,,,
3267,R005,Voghera,Lombardia,Pavia,2018-04-16,,,,Monday,4,2018,Spring,False,False,39354,,,,,,,,,,,,,,,,1562.98,1439.3,644.98,1243.95,830.11,409.69,1.56298,1.4393,0.64498,1.2439500000000001,0.83011,0.40969
3268,R005,Voghera,Lombardia,Pavia,2018-04-17,,,,Tuesday,4,2018,Spring,False,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3269,R005,Voghera,Lombardia,Pavia,2018-04-18,,,,Wednesday,4,2018,Spring,False,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3270,R005,Voghera,Lombardia,Pavia,2018-04-19,,,,Thursday,4,2018,Spring,False,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3271,R005,Voghera,Lombardia,Pavia,2018-04-20,,,,Friday,4,2018,Spring,False,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3272,R005,Voghera,Lombardia,Pavia,2018-04-21,,,,Saturday,4,2018,Spring,True,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3273,R005,Voghera,Lombardia,Pavia,2018-04-22,,,,Sunday,4,2018,Spring,True,True,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3274,R005,Voghera,Lombardia,Pavia,2018-04-23,,,,Monday,4,2018,Spring,False,False,39354,,,,,,,,,,,,,,,,1573.32,1450.22,645.94,1253.47,838.22,416.63,1.5733199999999998,1.45022,0.6459400000000001,1.25347,0.8382200000000001,0.41663
3275,R005,Voghera,Lombardia,Pavia,2018-04-24,,,,Tuesday,4,2018,Spring,False,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3276,R005,Voghera,Lombardia,Pavia,2018-04-25,,,,Wednesday,4,2018,Spring,False,True,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3277,R005,Voghera,Lombardia,Pavia,2018-04-26,,,,Thursday,4,2018,Spring,False,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
