,LOCALITA,DATA,TMEDIA °C,TMIN °C,TMAX °C,PUNTORUGIADA °C,UMIDITA %,VISIBILITA km,VENTOMEDIA km/h,VENTOMAX km/h,RAFFICA km/h,PRESSIONESLM mb,PRESSIONEMEDIA mb,PIOGGIA mm,FENOMENI
583,Pavia,2019-05-07,13.0,10.0,16.0,8.0,72.0,14.0,13.0,30.0,0.0,1009.0,0.0,0.0,pioggia 
584,Pavia,2019-05-08,13.0,7.0,18.0,6.0,67.0,19.0,8.0,13.0,0.0,1016.0,0.0,0.0,
585,Pavia,2019-05-09,13.0,5.0,19.0,6.0,66.0,20.0,9.0,17.0,0.0,1021.0,0.0,0.0,
586,Pavia,2019-05-10,13.0,6.0,18.0,8.0,70.0,20.0,8.0,13.0,0.0,1016.0,0.0,0.0,
587,Pavia,2019-05-11,11.0,7.0,17.0,6.0,44.0,21.0,19.0,44.0,0.0,1016.0,0.0,0.0,
588,Pavia,2019-05-12,10.0,5.0,16.0,0.0,27.0,20.0,11.0,24.0,0.0,1023.0,0.0,0.0,
589,Pavia,2019-05-13,9.0,3.0,16.0,3.0,56.0,20.0,8.0,24.0,0.0,1013.0,0.0,0.0,
590,Pavia,2019-05-14,9.0,1.0,16.0,2.0,56.0,20.0,8.0,17.0,0.0,1012.0,0.0,0.0,nebbia 
591,Pavia,2019-05-15,14.0,4.0,22.0,3.0,49.0,21.0,12.0,21.0,0.0,1010.0,0.0,0.0,
592,Pavia,2019-05-16,17.0,9.0,23.0,6.0,52.0,20.0,13.0,18.0,0.0,1013.0,0.0,0.0,
593,Pavia,2019-05-17,13.0,6.0,14.0,8.0,72.0,15.0,4.0,9.0,0.0,1013.0,0.0,0.0,
594,Pavia,2019-05-18,11.0,6.0,16.0,5.0,54.0,19.0,16.0,28.0,0.0,1013.0,0.0,0.0,pioggia 
595,Pavia,2019-05-19,9.0,3.0,13.0,3.0,62.0,21.0,8.0,13.0,0.0,1023.0,0.0,0.0,
596,Pavia,2019-05-20,9.0,3.0,14.0,1.0,52.0,21.0,7.0,13.0,0.0,1030.0,0.0,0.0,
597,Pavia,2019-05-21,9.0,2.0,16.0,1.0,50.0,20.0,6.0,11.0,0.0,1032.0,0.0,0.0,
598,Pavia,2019-05-22,11.0,2.0,19.0,1.0,52.0,20.0,4.0,9.0,0.0,1029.0,0.0,0.0,
599,Pavia,2019-05-23,13.0,4.0,22.0,2.0,51.0,21.0,4.0,9.0,0.0,1025.0,0.0,0.0,
600,Pavia,2019-05-24,15.0,5.0,24.0,3.0,48.0,21.0,6.0,11.0,0.0,1020.0,0.0,0.0,
601,Pavia,2019-05-25,17.0,12.0,24.0,3.0,31.0,21.0,21.0,52.0,0.0,1011.0,0.0,0.0,
602,Pavia,2019-05-26,11.0,6.0,16.0,3.0,46.0,19.0,13.0,35.0,0.0,1020.0,0.0,0.0,pioggia temporale 
603,Pavia,2019-05-27,10.0,4.0,16.0,1.0,46.0,19.0,8.0,17.0,0.0,1026.0,0.0,0.0,
604,Pavia,2019-05-28,10.0,4.0,15.0,1.0,50.0,21.0,8.0,18.0,0.0,1029.0,0.0,0.0,
605,Pavia,2019-05-29,12.0,5.0,18.0,1.0,49.0,20.0,7.0,11.0,0.0,1030.0,0.0,0.0,
606,Pavia,2019-05-30,13.0,4.0,20.0,3.0,54.0,20.0,4.0,9.0,0.0,1024.0,0.0,0.0,
607,Pavia,2019-05-31,14.0,4.0,22.0,2.0,47.0,21.0,5.0,9.0,0.0,1017.0,0.0,0.0,
516,Pavia,2019-06-01,28.0,22.0,34.0,15.0,46.0,20.0,9.0,17.0,0.0,1014.0,0.0,0.0,
517,Pavia,2019-06-02,27.0,21.0,33.0,18.0,57.0,19.0,11.0,24.0,0.0,1015.0,0.0,0.0,pioggia temporale 
518,Pavia,2019-06-03,25.0,19.0,31.0,17.0,63.0,20.0,7.0,17.0,0.0,1017.0,0.0,0.0,
519,Pavia,2019-06-04,28.0,22.0,33.0,18.0,58.0,20.0,7.0,15.0,0.0,1015.0,0.0,0.0,
520,Pavia,2019-06-05,28.0,24.0,34.0,20.0,60.0,20.0,8.0,15.0,0.0,1011.0,0.0,0.0,pioggia temporale 
521,Pavia,2019-06-06,27.0,22.0,34.0,21.0,68.0,21.0,9.0,17.0,0.0,1008.0,0.0,0.0,pioggia temporale 
522,Pavia,2019-06-07,27.0,21.0,33.0,17.0,58.0,19.0,8.0,13.0,0.0,1010.0,0.0,0.0,
523,Pavia,2019-06-08,25.0,22.0,29.0,18.0,65.0,21.0,13.0,24.0,0.0,1011.0,0.0,0.0,
524,Pavia,2019-06-09,25.0,22.0,28.0,16.0,61.0,19.0,12.0,18.0,0.0,1011.0,0.0,0.0,
525,Pavia,2019-06-10,25.0,22.0,27.0,14.0,52.0,18.0,10.0,15.0,0.0,1013.0,0.0,0.0,
526,Pavia,2019-06-11,25.0,20.0,31.0,16.0,56.0,19.0,8.0,22.0,0.0,1011.0,0.0,0.0,
527,Pavia,2019-06-12,25.0,19.0,31.0,15.0,58.0,19.0,8.0,17.0,0.0,1010.0,0.0,0.0,pioggia 
528,Pavia,2019-06-13,24.0,18.0,29.0,12.0,49.0,20.0,11.0,18.0,0.0,1011.0,0.0,0.0,
529,Pavia,2019-06-14,20.0,16.0,23.0,15.0,74.0,19.0,11.0,24.0,0.0,1011.0,0.0,0.0,pioggia 
530,Pavia,2019-06-15,23.0,16.0,29.0,15.0,68.0,20.0,5.0,13.0,0.0,1014.0,0.0,0.0,nebbia 
531,Pavia,2019-06-16,24.0,17.0,30.0,15.0,58.0,20.0,6.0,9.0,0.0,1012.0,0.0,0.0,
532,Pavia,2019-06-17,24.0,18.0,29.0,16.0,60.0,20.0,9.0,22.0,0.0,1012.0,0.0,0.0,pioggia 
533,Pavia,2019-06-18,25.0,20.0,31.0,17.0,61.0,20.0,6.0,11.0,0.0,1015.0,0.0,0.0,
534,Pavia,2019-06-19,27.0,20.0,32.0,18.0,61.0,19.0,6.0,11.0,0.0,1017.0,0.0,0.0,
535,Pavia,2019-06-20,27.0,21.0,32.0,17.0,55.0,22.0,7.0,13.0,0.0,1019.0,0.0,0.0,
536,Pavia,2019-06-21,28.0,21.0,33.0,19.0,58.0,21.0,6.0,11.0,0.0,1021.0,0.0,0.0,
537,Pavia,2019-06-22,29.0,24.0,34.0,21.0,64.0,13.0,6.0,11.0,0.0,1019.0,0.0,0.0,
538,Pavia,2019-06-23,29.0,24.0,35.0,21.0,63.0,16.0,6.0,13.0,0.0,1016.0,0.0,0.0,
539,Pavia,2019-06-24,30.0,24.0,36.0,21.0,59.0,19.0,7.0,17.0,0.0,1015.0,0.0,0.0,
540,Pavia,2019-06-25,30.0,24.0,35.0,19.0,54.0,22.0,8.0,13.0,0.0,1010.0,0.0,0.0,
541,Pavia,2019-06-26,25.0,20.0,30.0,18.0,64.0,20.0,10.0,24.0,0.0,1004.0,0.0,0.0,pioggia 
542,Pavia,2019-06-27,24.0,19.0,28.0,18.0,72.0,17.0,8.0,15.0,0.0,999.0,0.0,0.0,
543,Pavia,2019-06-28,27.0,20.0,33.0,17.0,57.0,21.0,8.0,11.0,0.0,1005.0,0.0,0.0,
544,Pavia,2019-06-29,27.0,21.0,33.0,17.0,55.0,22.0,8.0,11.0,0.0,1010.0,0.0,0.0,
545,Pavia,2019-06-30,24.0,22.0,29.0,18.0,71.0,20.0,7.0,11.0,0.0,1012.0,0.0,0.0,
546,Pavia,2019-07-01,17.0,9.0,24.0,7.0,54.0,19.0,7.0,13.0,0.0,1013.0,0.0,0.0,pioggia 
547,Pavia,2019-07-02,17.0,11.0,21.0,9.0,62.0,20.0,11.0,22.0,0.0,1011.0,0.0,0.0,pioggia 
548,Pavia,2019-07-03,15.0,13.0,18.0,11.0,78.0,20.0,7.0,21.0,0.0,1008.0,0.0,0.0,pioggia temporale 
549,Pavia,2019-07-04,15.0,11.0,20.0,10.0,77.0,19.0,7.0,15.0,0.0,1004.0,0.0,0.0,pioggia temporale 
550,Pavia,2019-07-05,10.0,7.0,13.0,6.0,78.0,18.0,11.0,24.0,0.0,1002.0,0.0,0.0,pioggia 
551,Pavia,2019-07-06,12.0,4.0,18.0,4.0,64.0,20.0,6.0,17.0,0.0,1012.0,0.0,0.0,nebbia 
552,Pavia,2019-07-07,13.0,6.0,19.0,5.0,58.0,19.0,7.0,15.0,0.0,1017.0,0.0,0.0,
553,Pavia,2019-07-08,12.0,11.0,13.0,9.0,84.0,11.0,9.0,17.0,0.0,1014.0,0.0,0.0,pioggia 
554,Pavia,2019-07-09,14.0,10.0,19.0,9.0,75.0,19.0,7.0,15.0,0.0,1006.0,0.0,0.0,pioggia 
555,Pavia,2019-07-10,17.0,11.0,22.0,11.0,71.0,18.0,7.0,11.0,0.0,1010.0,0.0,0.0,
556,Pavia,2019-07-11,16.0,10.0,20.0,11.0,76.0,18.0,8.0,28.0,0.0,1012.0,0.0,0.0,pioggia temporale 
557,Pavia,2019-07-12,14.0,11.0,18.0,9.0,75.0,21.0,9.0,17.0,0.0,1014.0,0.0,0.0,
558,Pavia,2019-07-13,16.0,13.0,20.0,8.0,57.0,20.0,8.0,18.0,0.0,1019.0,0.0,0.0,
559,Pavia,2019-07-14,14.0,8.0,19.0,8.0,66.0,19.0,13.0,30.0,0.0,1018.0,0.0,0.0,
560,Pavia,2019-07-15,11.0,6.0,15.0,5.0,65.0,21.0,10.0,26.0,0.0,1015.0,0.0,0.0,
561,Pavia,2019-07-16,15.0,7.0,22.0,8.0,65.0,21.0,7.0,17.0,0.0,1012.0,0.0,0.0,
562,Pavia,2019-07-17,16.0,12.0,19.0,9.0,68.0,18.0,12.0,22.0,0.0,1009.0,0.0,0.0,pioggia 
563,Pavia,2019-07-18,14.0,12.0,16.0,12.0,87.0,15.0,8.0,15.0,0.0,1007.0,0.0,0.0,pioggia 
564,Pavia,2019-07-19,14.0,12.0,15.0,13.0,93.0,13.0,4.0,8.0,0.0,1005.0,0.0,0.0,pioggia 
565,Pavia,2019-07-20,15.0,12.0,17.0,13.0,88.0,12.0,6.0,15.0,0.0,1005.0,0.0,0.0,pioggia 
566,Pavia,2019-07-21,18.0,13.0,24.0,12.0,69.0,21.0,12.0,17.0,0.0,1008.0,0.0,0.0,pioggia temporale 
567,Pavia,2019-07-22,19.0,13.0,26.0,12.0,68.0,20.0,8.0,15.0,0.0,1013.0,0.0,0.0,pioggia temporale 
568,Pavia,2019-07-23,21.0,14.0,26.0,14.0,66.0,19.0,6.0,11.0,0.0,1015.0,0.0,0.0,nebbia 
569,Pavia,2019-07-24,20.0,14.0,26.0,13.0,63.0,19.0,6.0,15.0,0.0,1013.0,0.0,0.0,
570,Pavia,2019-07-25,18.0,14.0,24.0,13.0,73.0,19.0,8.0,24.0,0.0,1014.0,0.0,0.0,pioggia temporale 
571,Pavia,2019-07-26,19.0,16.0,24.0,14.0,72.0,17.0,6.0,11.0,0.0,1014.0,0.0,0.0,pioggia 
572,Pavia,2019-07-27,17.0,15.0,19.0,15.0,88.0,18.0,8.0,17.0,0.0,1010.0,0.0,0.0,pioggia 
573,Pavia,2019-07-28,17.0,14.0,22.0,14.0,83.0,15.0,7.0,28.0,0.0,1005.0,0.0,0.0,pioggia temporale nebbia 
574,Pavia,2019-07-29,16.0,14.0,20.0,12.0,75.0,21.0,8.0,13.0,0.0,1012.0,0.0,0.0,pioggia 
575,Pavia,2019-07-30,19.0,13.0,23.0,12.0,64.0,18.0,8.0,17.0,0.0,1021.0,0.0,0.0,
576,Pavia,2019-07-31,20.0,14.0,26.0,10.0,55.0,21.0,8.0,13.0,0.0,1023.0,0.0,0.0,
365,Pavia,2019-08-01,14.0,5.0,22.0,3.0,48.0,19.0,5.0,17.0,0.0,1016.0,0.0,0.0,
366,Pavia,2019-08-02,15.0,9.0,21.0,5.0,52.0,20.0,8.0,17.0,0.0,1013.0,0.0,0.0,pioggia 
367,Pavia,2019-08-03,12.0,9.0,14.0,7.0,72.0,19.0,12.0,28.0,0.0,1007.0,0.0,0.0,pioggia 
368,Pavia,2019-08-04,11.0,8.0,12.0,9.0,88.0,16.0,19.0,35.0,0.0,998.0,0.0,0.0,pioggia 
369,Pavia,2019-08-05,12.0,8.0,16.0,6.0,69.0,18.0,7.0,11.0,0.0,1001.0,0.0,0.0,
370,Pavia,2019-08-06,13.0,10.0,15.0,7.0,69.0,20.0,9.0,17.0,0.0,1006.0,0.0,0.0,
371,Pavia,2019-08-07,11.0,9.0,14.0,8.0,79.0,18.0,7.0,18.0,0.0,1006.0,0.0,0.0,pioggia 
372,Pavia,2019-08-08,12.0,6.0,19.0,7.0,76.0,13.0,8.0,13.0,0.0,1007.0,0.0,0.0,nebbia 
373,Pavia,2019-08-09,15.0,8.0,20.0,7.0,61.0,21.0,9.0,21.0,0.0,1007.0,0.0,0.0,
374,Pavia,2019-08-10,13.0,8.0,19.0,8.0,71.0,21.0,6.0,22.0,0.0,1006.0,0.0,0.0,
375,Pavia,2019-08-11,12.0,10.0,14.0,10.0,89.0,16.0,6.0,13.0,0.0,1009.0,0.0,0.0,pioggia 
376,Pavia,2019-08-12,13.0,11.0,17.0,10.0,82.0,15.0,7.0,17.0,0.0,1012.0,0.0,0.0,pioggia 
377,Pavia,2019-08-13,12.0,9.0,15.0,7.0,74.0,20.0,13.0,18.0,0.0,1014.0,0.0,0.0,
378,Pavia,2019-08-14,9.0,7.0,10.0,6.0,85.0,19.0,13.0,28.0,0.0,1013.0,0.0,0.0,pioggia 
379,Pavia,2019-08-15,13.0,7.0,19.0,7.0,70.0,17.0,6.0,13.0,0.0,1019.0,0.0,0.0,pioggia nebbia 
