"","SARIMA(1,0,2)(0,1,2)","SARIMAX(1,1,3)(1,0,0)","SARIMAX(1,1,2)(1,0,1)","SARIMAX(1,0,2)(1,0,2)","RF-ritardi","RF-regressori","RF-regressori+dummy","UCM-ritardi","UCM-regressori","UCM rit + reg + colori","UCM-regressori+dummy"
"h=12",3644.68547297087,3622.79524583321,5722.62456810089,4901.935863235,3342.5950483464,3184.42310243589,3165.70439543595,3548.05127484598,3546.49918048141,4877.1026970832,3281.77119779309
"h=13",3670.84815152285,3671.97646746528,5819.1255933179,4990.34219736254,3375.4164785394,3168.31945304485,3168.67852081349,3513.15821935124,3493.33618874775,4756.41683761999,3271.74075562398
"h=14",3752.46126558516,3708.96394635908,6006.31543822957,5001.14609291287,3387.56062409089,3179.24854759503,3192.31873919069,3496.04562829343,3437.58556074628,4661.31010305679,3333.4385476032
"h=15",3931.8875708188,3873.0119619867,6170.35505892256,5188.63299214648,3600.83879561438,3346.46419149404,3311.85404449748,3718.994281786,3687.02175459063,5119.47921215062,3623.38384015369
"h=16",4002.16318944104,3907.82969246477,5951.85357067343,5248.1003775943,3612.96572992992,3313.55230541528,3330.00118779315,3819.01715637877,3864.27930655516,5386.39630389239,3674.29237099353
"h=17",3964.13056186478,3937.85783805744,5915.62067215801,5178.93770727233,3539.31128261342,3317.08573768642,3300.34773848327,3780.80292358887,3881.61355131487,5304.6286952718,3641.30761612733
"h=18",3882.00336442962,3904.47017562682,5900.70551960279,5152.67722305527,3594.51949715584,3334.44647988702,3287.8914633881,3792.53903814713,3879.35198654653,5226.1751920172,3657.28062242651
"h=19",3908.42459634301,3896.26074628956,6053.35149435642,5206.32766492146,3626.99806880738,3397.58758407932,3349.28828118411,3785.44195727123,3814.11078603686,5205.38307535568,3677.315593298
"h=20",3965.3349652778,3950.4246760414,6071.23929281681,5256.74331141921,3671.20113198483,3417.75861879225,3416.46373154528,3791.97009176375,3792.23651628892,5141.16318845207,3703.21500171071
"h=21",4070.84176324225,4003.0320411935,6067.37689014758,5239.07626001183,3691.02192465267,3427.76584748843,3410.49302358057,3822.66596928155,3794.56344971937,5205.70001845857,3721.13829821657
"h=22",4162.85968839685,4090.70396403221,6017.43504988161,5332.36612558223,3849.54727518164,3461.48574173894,3455.4388419448,3913.34580901844,3926.74438557535,5437.72770549761,3799.24458005142
"h=23",4230.77290188029,4171.41390711754,5779.50073866595,5337.54277294063,3845.29878521584,3501.78584694677,3505.80855925296,4037.49871149098,4072.69019043778,5706.64299143946,3869.33282965986
"h=24",4173.4502071022,4213.08874530266,5721.1872122744,5216.20244702673,3801.19518942305,3507.11186483426,3485.34928244541,4020.88346634901,4124.80386140082,5571.16802333428,3881.35223762955
"h=25",4044.30852738027,4134.59596151973,5547.45896192265,5120.83263088744,3837.66169926912,3514.63386599383,3490.8460941589,4009.55795863926,4064.47332948852,5577.7044819364,3888.47160624023
"h=26",4082.40561034133,4137.73394188256,5661.14807406321,5162.46168371537,3854.21136772218,3548.34255196912,3515.32599283071,4000.51243768944,3940.73765862564,5508.33529676988,3883.45145858871
"h=27",4185.75430955352,4190.71402042833,5695.22370424805,5162.79017877508,3883.74908401882,3535.80881366838,3542.64928143568,3958.31859482435,3890.83075682853,5448.74795728584,3861.42977409304
"h=28",4301.29053377554,4231.16681841362,5636.82718380358,5139.49651128984,3922.25492251247,3577.106972805,3542.71070251344,4013.61810846583,3903.2452394073,5623.37215298905,3863.97715975617
