"","SARIMA(1,0,0)(1,1,2)","ARIMAX (2,1,3)","SARIMAX(3,1,2)(1,0,1)","SARIMAX(3,1,3)(1,0,0)","RF-ritardi","RF-regressori","RF-regressori+dummy","UCM-ritardi","UCM-regressori","UCM-regressori+dummy"
"h=16",3984.97160610293,4316.05187225081,3594.36046375683,4629.20473552284,4192.19655521776,3721.07852361097,3721.32437188952,6264.38143472657,5345.91603407883,5975.74740041592
"h=17",3974.01105572299,4319.19217442311,3650.27937776825,4693.57892379753,4233.9519103116,3777.94417972654,3788.22531759702,5484.44632231403,5332.77879410395,6216.17589929089
"h=18",3970.59561004613,4331.41890177544,3645.07995909867,4685.39954924031,4362.84681939238,3804.18685069692,3830.96024178765,4814.02445903091,5395.34993083738,5880.57228705402
"h=19",3969.70702339863,4306.29677941196,3643.49754575177,4687.73583273744,4331.24348860714,3809.67070234722,3800.76430155974,4895.2106226187,5403.27296117723,5804.58213667279
"h=20",3970.39941925406,4294.62300885601,3626.08975945821,4730.85980549028,4300.44496725948,3801.29368755585,3811.7786350734,4688.12440216489,5104.06971650876,5688.47100687559
"h=21",3972.55832154049,4301.11899727421,3639.78507474992,4771.1162506907,4276.57999142856,3784.01371027189,3797.67839279407,4524.15957468195,4748.79100504117,4977.0175878702
"h=22",4031.89003095291,4441.43308670804,3623.57645736139,4879.20269840953,4315.87598371276,3820.99434564247,3787.91521809277,5167.71925201074,4929.79915475494,5200.74942414376
"h=23",4063.23255084429,4525.29302070174,3644.70950697109,4979.4434366567,4424.86480214359,3831.614925114,3856.05942532633,6107.07968299373,5389.7605473515,6106.69538320247
"h=24",4072.96809053998,4581.13811627734,3778.08926941378,5004.90822237096,4443.08992716941,3885.79133724801,3870.86927538734,5422.11010044505,5622.81182320543,6624.17060161991
"h=25",4060.65127287742,4578.13998955892,3793.64886787969,5046.98510538336,4566.57265382159,3924.28976285736,3958.11458107763,4894.16608395603,5692.1346715113,6342.28808669693
"h=26",4040.22643279249,4474.39177190708,3771.0979632581,5054.8499193671,4531.41787518774,3938.63194452474,3968.22305385565,4757.21606727823,5568.0240027148,6253.87540329402
"h=27",4038.11627004106,4439.44122909293,3721.47344726053,5126.5608107399,4476.58305484731,3946.6011067267,3970.32410472418,4754.19244564282,5294.9461146202,6525.63459563537
"h=28",4043.00183603447,4450.13115470514,3765.94597597868,5134.95355495635,4493.86600815486,3949.7068317239,3961.07682133315,4559.65481383737,4978.12709902824,6421.76087027651
"h=29",4091.46568690614,4573.38655828976,3782.10278408459,5229.30890153048,4515.06351847939,4007.13849874059,3997.02528677299,4891.91145560472,5263.47720594856,5765.39770692619
"h=30",4113.93482403072,4649.19977487933,3830.98608059832,5327.41726961124,4612.676899622,3965.35870290977,3982.82360710346,5661.69786881925,5687.42350863992,6632.0357498783
"h=31",4133.59965114188,4701.01348305803,3902.86594030548,5385.7745304502,4600.64057943394,3995.75130457133,4012.29727298951,5269.07798245146,5969.69759118957,7068.54679484019
"h=32",4119.32368512025,4660.73915929332,3908.7734274322,5425.99995696856,4654.95160396949,4007.29465264386,4009.88073310582,4886.7478833115,5875.39480235354,6706.93151555327
"h=33",4114.62540147394,4593.75616181226,3932.15064502361,5409.18321641349,4633.77047406565,4020.21653850809,4025.79341854907,4889.45539512897,5694.45808010353,6818.83620879413
"h=34",4114.55122721723,4551.28566183039,3896.35051855416,5487.10193842367,4563.48098423008,4031.67746717096,4060.52755249783,4957.672969728,5313.01184248163,7417.21158896525
"h=35",4119.1680824001,4567.09007574943,3891.06705604785,5481.11584515787,4556.53373342264,4017.58956941164,4030.62619123294,4895.61297891812,5204.37978612583,6689.78317661037
"h=36",4150.34213618158,4643.31328025714,3903.09901482917,5532.40444787999,4545.80739080864,3986.37929417949,3977.18811957108,5411.08442091765,5571.93568432061,6315.31845196359
"h=37",4169.35819534747,4675.85688129681,4003.82419267438,5654.25610126215,4653.26191812139,3948.46621241589,3969.70750772924,6431.14083775533,5993.44101677088,7239.53452387797
"h=38",4182.15086084616,4666.46809691156,4071.38374191544,5684.88992260647,4515.16995602495,3951.70050402632,3973.72545414102,5805.70407610789,6179.63131362422,7636.66608202827
"h=39",4180.20103928356,4603.02280552632,4075.93680591924,5623.37016620283,4617.88842785352,3962.95967011351,3979.45697800519,5165.26164667146,6096.34688944678,7185.97680609802
"h=40",4186.04281349631,4538.86131224088,4074.43992648402,5515.51313995109,4602.72165202859,3988.71890358804,3981.72588255687,5178.9942523404,5832.79938813238,7486.50755980858
"h=41",4189.18449382483,4479.78383549355,4004.85513141859,5531.56505198387,4616.38469524098,3972.08020620372,3967.79338250847,5014.70307314813,5306.17005101831,8823.35015219857
"h=42",4195.30812728631,4506.54170958252,3977.98189020484,5657.6558153046,4616.59173292788,3996.77735013143,4045.03609994143,5090.46168063777,5143.76956579368,7779.33036421255
"h=43",4233.26000894177,4591.4884149822,4033.29117454475,5722.57045986631,4625.71670431597,4005.66675834905,4031.54595944975,5778.07315525213,5514.10113675284,6669.49126962762
"h=44",4254.76976206501,4655.61423070526,4044.07850839632,5860.72996966985,4712.28620214733,3997.25775655951,4023.72775643002,6919.11112794221,6126.59313645061,7473.952139182
"h=45",4262.04492372537,4672.49216424636,4137.96626155369,5953.10875926375,4656.9532756328,4026.1409628281,4062.4916846466,6397.50820420227,6203.28627952997,7491.51169768867
"h=46",4265.5540920015,4649.10831128091,4130.59377092785,5957.61653939194,4695.55875513545,3996.2584001551,4014.75321661579,5349.30579213116,6321.59792717293,8584.93244885229
"h=47",4276.8628153817,4592.58880663498,4101.15712663576,6035.11662150917,4676.6322248416,4022.14199063762,4057.42618899368,5523.3011387598,6110.32859221672,8782.37271023558
"h=48",4280.90885234001,4524.00292327818,4010.76815816189,6059.59958917405,4616.62957810954,4047.62573538756,4060.53192340868,5440.85151992154,5582.97284461028,11557.602864204
"h=49",4281.24068821679,4489.62752427495,3997.48593752536,5992.59919018791,4628.25780813406,4027.59122383066,4035.98295928079,5349.86109189149,5309.84171311791,10000.1143651675
"h=50",4312.61988906533,4574.76142167152,4031.58180224029,5979.09846843615,4520.27234973889,4046.00363361415,4031.94654119766,6097.40824896229,5634.93497390596,7347.34461263609
