"","SARIMA(1,0,2)(0,1,2)","SARIMAX(1,1,3)(1,0,0)","SARIMAX(1,1,2)(1,0,1)","SARIMAX(1,0,2)(1,0,2)","RF-ritardi","RF-regressori","RF-regressori+dummy","UCM-ritardi","UCM-regressori","UCM rit + reg + colori","UCM-regressori+dummy"
"h=49",22.1463760114178,22.5120394666759,23.0798694923917,25.6841254961263,17.9730967603352,17.2739715764121,16.9996894347152,19.6976769927993,19.3006603553838,30.8657853503733,19.0704130708225
"h=50",21.8318543920063,22.052379629383,24.3123772263816,26.4013864467667,18.1279010604455,17.3169443741144,17.0834489069313,20.7570176681175,20.1382542865635,30.9315555515957,19.4360029151247
"h=51",21.8900955847983,22.2801691171189,24.4193293683999,25.9947359396149,18.4322110807902,17.1859645882686,16.9995684178225,21.0120704851819,20.5751322407174,31.8406307514208,19.6167971754822
"h=52",21.1023726853429,21.4947919621562,24.9790628903869,24.5731455489584,17.9500400296829,17.2661236552859,17.2888843533408,20.6454408711595,20.1242984129489,30.5473381405035,19.687898525112
"h=53",20.3871392857871,20.9604412086583,23.5429723335034,24.1370251090338,17.6907906286483,17.0995021077264,17.2972796427833,20.6536336121007,20.0110135231963,31.2422703135187,19.7518033804919
"h=54",20.8010557161886,20.8792747513762,23.2523764418862,25.8406029658916,17.7482127253829,17.2950273357653,17.487062429854,20.9114095936153,19.9437642619763,32.1369163998446,19.8637638606182
"h=55",20.8078409269886,21.0486867095,23.8948571611245,27.2830601746891,18.3297148573257,17.4110011118688,17.5495087136252,20.8118529915509,19.9381882308195,30.8201961449134,19.8300466747296
"h=56",21.3643134440041,21.6501090553523,23.3730264499173,27.7405420336762,18.2896523567282,17.6720884716448,17.7435728030862,20.819043674919,20.3153264965392,31.2921808763538,20.010621114142
"h=57",21.2529244460313,21.4707377530954,23.4210870907001,28.2288386323784,19.3048730045739,17.9679776733727,17.9036426430272,21.7555155082909,20.9115166638124,32.8032385200756,20.633053619221
"h=58",21.1083071079392,21.6653555762708,22.0837744919361,24.0323140883911,19.3419793333394,18.1508351345296,18.1415438418794,21.8900012177469,21.0659078495688,29.5534639759443,20.7259583705695
"h=59",20.5432583134075,21.1050542239086,22.7271058998557,22.6959955970592,18.755634173789,17.8383261510915,18.0965116404716,21.6620958455078,20.8697954623284,30.166352489548,20.5309873815259
"h=60",19.8124914758787,20.6360123170711,21.9746614908124,22.3732444227243,18.6794901617252,18.1291975920567,18.2020630277497,21.5815642047131,20.9287779933267,30.0256083386884,20.5059180167923
