"","SARIMA(1,0,2)(0,1,2)","SARIMAX(1,1,3)(1,0,0)","SARIMAX(1,1,2)(1,0,1)","SARIMAX(1,0,2)(1,0,2)","RF-ritardi","RF-regressori","RF-regressori+dummy","UCM-ritardi","UCM-regressori","UCM rit + reg + colori","UCM-regressori+dummy"
"h=27",3202.04458136845,3220.06038239137,4465.26470153095,3826.77353937997,2703.82286863636,2450.09140363636,2448.85428681818,2760.49746909849,2742.51734745225,3884.115043572,2675.56156844488
"h=28",3303.71828922221,3291.15822069961,4368.88408168149,3837.65361517448,2728.13350212766,2495.47968054711,2444.3191600304,2774.15044242278,2759.77347522761,3960.16253885161,2649.82892507723
"h=29",3316.39868688538,3306.12979374768,4220.80881193936,3876.17283240576,2817.83242385671,2575.21428932927,2547.11924039634,2972.07441045207,2905.16429633185,4232.69778341706,2763.10894710757
"h=30",3301.83467047312,3374.91851569694,4102.64183071502,3882.22500815633,2788.02768302752,2549.65040022936,2534.2588706422,3002.56260927093,2995.62777470872,4381.09668254583,2859.70614249659
"h=31",3271.33124102213,3420.87659821138,3982.7405728,3731.17690565312,2722.31306710123,2562.52491441718,2543.59251855828,2947.51245203729,2999.3878111789,4279.04983423765,2862.31417179597
"h=32",3142.32521507872,3335.18025954843,3950.21375689868,3576.17574927247,2777.35917392308,2575.76933215385,2544.93677976923,2972.07778731504,2998.37222240762,4407.91239785245,2860.27201928079
"h=33",3204.85689761549,3308.71587335752,4015.86563636688,3643.62437362906,2753.93344097222,2579.02425277778,2527.65437708333,2953.67690574012,2976.7395741706,4329.20485041585,2861.92476856458
"h=34",3293.48407629975,3336.60380952705,3996.11646831406,3682.21244686537,2778.25201509288,2562.30985750774,2543.1251370743,2874.07011247093,2897.86558417977,4209.79485823411,2824.08155086165
"h=35",3381.47442899779,3345.33192264067,3980.62490159097,3727.01227454737,2762.37417368012,2586.04376576087,2545.29986506211,2886.71639212205,2868.38306329931,4286.72897796302,2829.17243534643
"h=36",3367.23646188952,3368.81298265159,3955.1024224652,3766.93846888508,2869.12116518692,2611.2998411215,2593.76097757009,2982.13407256374,2953.73218923385,4268.01495033712,2896.08947349444
"h=37",3335.96115334609,3394.71261795138,3833.58256262259,3711.10306637385,2894.45547796875,2610.82498148437,2599.2462740625,3058.95781690504,3041.43244735473,4446.31247854994,2972.08339402953
"h=38",3267.21027118088,3396.89649998368,3953.40766212512,3531.36803258937,2829.87668722571,2620.26665548589,2639.10214043887,2989.78924820684,3037.11619530133,4509.96483829142,2957.14291268149
